drift_per_month,seed,dgp_seed,month,pAUC,positives,rows
0.0,0,0,0,0.6112965281713363,4223,419898
0.0,0,0,1,0.5995950998743669,4288,419819
0.0,0,0,2,0.6147142339272782,4277,420263
0.0,0,0,3,0.6044649562842525,4169,420895
0.0,0,0,4,0.5975161472542043,4302,419428
0.0,0,0,5,0.6150186488809235,4191,420608
0.0,0,0,6,0.6047912167565406,4131,420055
0.0,0,0,7,0.6081294771562484,4126,419369
0.0,0,0,8,0.6116116465769932,4176,419287
0.0,0,0,9,0.6069470697658121,4177,419187
0.0,0,0,10,0.6036215324793923,4142,419078
0.0,0,0,11,0.6075034480634834,4155,420246
0.0,0,0,12,0.6010192147810601,4329,420000
0.0,1,0,0,0.6081496206831675,4122,419897
0.0,1,0,1,0.6023740512876988,4206,420141
0.0,1,0,2,0.6168237492146916,4253,420217
0.0,1,0,3,0.6118660623310379,4257,419080
0.0,1,0,4,0.6089284276497827,4210,420497
0.0,1,0,5,0.6046563190067348,4121,419228
0.0,1,0,6,0.6105427841062302,4214,420142
0.0,1,0,7,0.5965845951088345,4458,419770
0.0,1,0,8,0.6145098813112444,4255,418434
0.0,1,0,9,0.6134186681360366,4169,420555
0.0,1,0,10,0.6091711423238847,4303,420398
0.0,1,0,11,0.609257891932348,4055,419865
0.0,1,0,12,0.6068450594601099,4205,420000
0.0,2,0,0,0.6142560821100461,3990,420754
0.0,2,0,1,0.6026677091358599,4181,420769
0.0,2,0,2,0.6095388895691941,4301,419896
0.0,2,0,3,0.6245118320382672,4179,420134
0.0,2,0,4,0.6115062084152161,4153,419620
0.0,2,0,5,0.6032859021543431,4284,420750
0.0,2,0,6,0.6080582262148854,4135,419239
0.0,2,0,7,0.6051487833929311,4165,419922
0.0,2,0,8,0.6100094043233966,4212,419647
0.0,2,0,9,0.6203273251753966,4104,419569
0.0,2,0,10,0.607094145595686,4166,420026
0.0,2,0,11,0.6026852593858295,4221,420490
0.0,2,0,12,0.614564797526302,4112,420000
0.0,3,0,0,0.6148417599647343,4262,420041
0.0,3,0,1,0.6075972676277076,4274,421305
0.0,3,0,2,0.6009524014995418,4088,418707
0.0,3,0,3,0.6115860526319733,4079,419699
0.0,3,0,4,0.6186760943826872,4161,419640
0.0,3,0,5,0.610273535946558,4212,419243
0.0,3,0,6,0.6073072902348614,4207,419457
0.0,3,0,7,0.6118071426403385,4235,419737
0.0,3,0,8,0.6052824113692095,4328,419869
0.0,3,0,9,0.6167296040784931,4039,420598
0.0,3,0,10,0.6081638740532855,4311,420996
0.0,3,0,11,0.6109227539516761,4218,420275
0.0,3,0,12,0.5942145500855203,4377,420000
0.0,4,0,0,0.6043644532050638,4237,419559
0.0,4,0,1,0.6117765416449911,4265,420189
0.0,4,0,2,0.6064844783640191,4430,420198
0.0,4,0,3,0.6031183057260224,4243,420081
0.0,4,0,4,0.6062749392175711,4109,420742
0.0,4,0,5,0.6070124184149637,4122,419794
0.0,4,0,6,0.6170379291538733,4331,419690
0.0,4,0,7,0.606282288881059,4165,420708
0.0,4,0,8,0.6137811862885926,4210,419230
0.0,4,0,9,0.6095191256056568,4221,419176
0.0,4,0,10,0.6006384535659774,4192,420874
0.0,4,0,11,0.6045257380842164,4180,420064
0.0,4,0,12,0.5978778632809661,4113,420000
0.01,0,0,0,0.6105839439545416,4245,419898
0.01,0,0,1,0.5973516380604666,4265,419819
0.01,0,0,2,0.6134890846153224,4279,420263
0.01,0,0,3,0.6017519343297184,4248,420895
0.01,0,0,4,0.5896698151280021,4288,419428
0.01,0,0,5,0.6093588817227841,4218,420608
0.01,0,0,6,0.5940948527081267,4213,420055
0.01,0,0,7,0.5996581726077662,4085,419369
0.01,0,0,8,0.6063322081921078,4148,419287
0.01,0,0,9,0.5905505975210423,4153,419187
0.01,0,0,10,0.5911532770474627,4137,419078
0.01,0,0,11,0.5898932616879576,4177,420246
0.01,0,0,12,0.5846882700579954,4316,420000
0.01,1,0,0,0.6073603421424436,4140,419897
0.01,1,0,1,0.6007868150457235,4202,420141
0.01,1,0,2,0.6132965199301358,4254,420217
0.01,1,0,3,0.6049836590145932,4274,419080
0.01,1,0,4,0.6023949768484719,4162,420497
0.01,1,0,5,0.597237328650966,4126,419228
0.01,1,0,6,0.6035161541312833,4239,420142
0.01,1,0,7,0.5917580958543931,4420,419770
0.01,1,0,8,0.6061476728103219,4291,418434
0.01,1,0,9,0.6036347642049436,4149,420555
0.01,1,0,10,0.5886730271663944,4268,420398
0.01,1,0,11,0.5899882957850487,4025,419865
0.01,1,0,12,0.5862710476055908,4184,420000
0.01,2,0,0,0.6146673217424683,4011,420754
0.01,2,0,1,0.5983643900867642,4189,420769
0.01,2,0,2,0.6029593241177007,4313,419896
0.01,2,0,3,0.6198945029922133,4207,420134
0.01,2,0,4,0.606369027787314,4172,419620
