scenario_id,period,dgp_seed,method,test_mean,test_sd,valid_mean,n,training_rows,positives,selected_endpoint,label,region_shift,drift_per_month,region_drift_per_month,trigger_rate,holdout_pct,base_rate,policy_noise,amount_weight,ceiling,pct_of_ceiling,method_label,rank,regret_vs_best_deployable
low_base_high_holdout,early,0,R1_holdout_only,0.8054753679112219,0.02199361450095374,0.794290321345094,5,16138.6,520.6,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8215271438580374,0.9804610522405461,holdout only,6.0,-0.01584512110994929
low_base_high_holdout,early,0,R2_unflagged_only,0.8206015939593272,0.021886780344199067,0.820154438766609,5,70965.2,2289.2,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8215271438580374,0.9988733787974873,no holdout,3.0,-0.0007188950618439716
low_base_high_holdout,early,0,R3_drop_unweighted,0.8204192447936608,0.025420525379319044,0.8187679144479277,5,72651.6,2343.6,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8215271438580374,0.9986514151447587,dropping,4.0,-0.0009012442275103671
low_base_high_holdout,early,0,R4_ipw_pure,0.8197942597797887,0.025867913579118194,0.8214538517015443,5,72651.6,2343.6,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8215271438580374,0.9978906551156536,IPW,5.0,-0.0015262292413824596
low_base_high_holdout,early,0,R5_asymmetric,0.820653599074603,0.02411708713453774,0.8228956388761006,5,72651.6,2343.6,mixed,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8215271438580374,0.9989366817761711,Asymmetric IPW,2.0,-0.000666889946568161
low_base_high_holdout,early,0,R6_no_retrain,0.8213204890211712,0.024468421082992502,0.8177611544069034,5,80147.4,2585.4,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8215271438580374,0.9997484503848579,no retraining,1.0,0.0
low_base_high_holdout,early,0,R7_incremental,0.7725217841100666,0.02128668568803824,0.7750373231108203,5,5970.6,192.6,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8215271438580374,0.9403484594339355,incremental,7.0,-0.04879870491110461
low_base_high_holdout,late,0,R0_benchmark,0.8268581816091134,0.012152190006820218,0.816644124749607,5,77946.4,2514.4,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8268581816091134,1.0,uncensored benchmark,,
low_base_high_holdout,late,0,R1_holdout_only,0.8013379997327297,0.014335615122599248,0.787464760790537,5,14991.6,483.6,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8268581816091134,0.969135962558029,holdout only,4.0,-0.019800267314345588
low_base_high_holdout,late,0,R2_unflagged_only,0.7368335136040158,0.015470009703027036,0.7512232586545468,5,25240.2,814.2,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8268581816091134,0.891124415277715,no holdout,7.0,-0.08430475344305943
