scenario_id,period,seed,dgp_seed,holdout_valid_pAUC,method,observed_valid_pAUC,oracle_valid_pAUC,positives,rows,test_pAUC,valid_pAUC,weighted_valid_pAUC,selected_endpoint,selector_delta,current_oracle_validation_delta,current_oracle_endpoint,matches_current_oracle,selector_history_months,selector_history_count
high_trigger_low_holdout,early,0,0,0.5770732535438419,R0_benchmark,0.6094242553619523,0.6131184493110311,25232,782192,0.6015152363975725,0.6131184493110311,0.6046383009866431,,,,,,,
high_trigger_low_holdout,early,0,0,0.5578473813767931,R1_holdout_only,0.5549241328788573,0.5600449139338389,520,16120,0.5510084205288753,0.5578473813767931,0.561887909533268,,,,,,,
high_trigger_low_holdout,early,0,0,0.5784253095177465,R2_unflagged_only,0.609112717987457,0.6131384351674842,24363,755253,0.6007833599261173,0.5784253095177465,0.6054205863365028,,,,,,,
high_trigger_low_holdout,early,0,0,0.580450361962967,R3_drop_unweighted,0.6089996992139447,0.6131523817564287,24382,755842,0.6006681113819023,0.580450361962967,0.6023317693435507,,,,,,,
high_trigger_low_holdout,early,0,0,0.5849551941988917,R4_ipw_pure,0.6105413971747511,0.614909649062719,24382,755842,0.6013886973219669,0.5849551941988917,0.6061114031955108,,,,,,,
high_trigger_low_holdout,early,0,0,0.5811112323717367,R6_no_retrain,0.6086685212750712,0.6112805888210403,24906,772086,0.5980815040457884,0.5811112323717367,0.5998387008411868,,,,,,,
high_trigger_low_holdout,early,0,0,0.5807171353389841,R7_incremental,0.608650603495765,0.6111232603910971,3565,110515,0.598027385341321,0.5807171353389841,0.5995354208839012,,,,,,,
high_trigger_low_holdout,early,0,0,0.5849551941988917,R5_asymmetric,0.6105413971747511,0.614909649062719,24382,755842,0.6013886973219669,0.5849551941988917,0.6061114031955108,R4_ipw_pure,0.003779633851960118,0.0017572673062903332,R4_ipw_pure,True,1,1.0
high_trigger_low_holdout,early,1,0,0.6108260019550341,R0_benchmark,0.6094760108425082,0.6085614129762654,25384,786904,0.5985710809672221,0.6085614129762654,0.6320226573023033,,,,,,,
high_trigger_low_holdout,early,1,0,0.5913796510055948,R1_holdout_only,0.5407784112432471,0.5417861168465701,503,15593,0.5357560184345537,0.5913796510055948,0.5650009106312934,,,,,,,
high_trigger_low_holdout,early,1,0,0.6212277198893534,R2_unflagged_only,0.6088830397406275,0.6088392888985863,24587,762197,0.601100088068123,0.6212277198893534,0.632418958485241,,,,,,,
high_trigger_low_holdout,early,1,0,0.617964996568291,R3_drop_unweighted,0.6099821197536058,0.6096365679330066,24601,762631,0.5999874710421277,0.617964996568291,0.6357612530200241,,,,,,,
high_trigger_low_holdout,early,1,0,0.6184199579875627,R4_ipw_pure,0.6092072673415219,0.6081825490144065,24601,762631,0.6015860744055926,0.6184199579875627,0.6360563793123533,,,,,,,
high_trigger_low_holdout,early,1,0,0.6195859591106674,R6_no_retrain,0.6050366204279918,0.6053212125253771,25205,781355,0.5977049602970289,0.6195859591106674,0.6339399188357343,,,,,,,
high_trigger_low_holdout,early,1,0,0.6187410307605915,R7_incremental,0.605263701718359,0.6055787951165299,3475,107725,0.5980474589344233,0.6187410307605915,0.6340143553876882,,,,,,,
high_trigger_low_holdout,early,1,0,0.6184199579875627,R5_asymmetric,0.6092072673415219,0.6081825490144065,24601,762631,0.6015860744055926,0.6184199579875627,0.6360563793123533,R4_ipw_pure,0.0002951262923291953,-0.0014540189186000863,R3_drop_unweighted,False,1,1.0
high_trigger_low_holdout,early,2,0,0.5761616443524483,R0_benchmark,0.6089822260417002,0.6109076737360395,25347,785757,0.5977561532812781,0.6109076737360395,0.5918705406911929,,,,,,,
high_trigger_low_holdout,early,2,0,0.5104981484496335,R1_holdout_only,0.5468150319658175,0.5482210980453944,474,14694,0.5483416493433576,0.5104981484496335,0.5325214405160057,,,,,,,
high_trigger_low_holdout,early,2,0,0.5818093251983988,R2_unflagged_only,0.6061742779580428,0.6081541996665021,24534,760554,0.5988846943405784,0.5818093251983988,0.5878333560849088,,,,,,,
high_trigger_low_holdout,early,2,0,0.5889894126980436,R3_drop_unweighted,0.6070369735278054,0.6097172517485103,24554,761174,0.5958852419319811,0.5889894126980436,0.5920163356312425,,,,,,,
high_trigger_low_holdout,early,2,0,0.5816865776165262,R4_ipw_pure,0.6064411443441384,0.6079964254292218,24554,761174,0.5980129696758885,0.5816865776165262,0.5912699076286033,,,,,,,
high_trigger_low_holdout,early,2,0,0.5814152408565972,R6_no_retrain,0.606280712885919,0.607401335831016,25424,788144,0.5951564451990881,0.5814152408565972,0.5903839243055081,,,,,,,
high_trigger_low_holdout,early,2,0,0.5800495124982882,R7_incremental,0.6063272600957368,0.6075592500302346,3484,108004,0.5949524131695768,0.5800495124982882,0.5905877442950425,,,,,,,
high_trigger_low_holdout,early,2,0,0.5889894126980436,R5_asymmetric,0.6070369735278054,0.6097172517485103,24554,761174,0.5958852419319811,0.5889894126980436,0.5920163356312425,R3_drop_unweighted,-0.0007464280026391323,-0.0017208263192884932,R3_drop_unweighted,True,1,1.0
high_trigger_low_holdout,early,3,0,0.6451458799914098,R0_benchmark,0.601624221827165,0.6023055827765309,25189,780859,0.6046171857986087,0.6023055827765309,0.6304484898931759,,,,,,,
high_trigger_low_holdout,early,3,0,0.6333869490329452,R1_holdout_only,0.5540020528398765,0.5544302617073045,480,14880,0.549573247791338,0.6333869490329452,0.5850581512512127,,,,,,,
high_trigger_low_holdout,early,3,0,0.6626023921075354,R2_unflagged_only,0.6018165792860549,0.6024515044852097,24344,754664,0.6040711825757872,0.6626023921075354,0.6323301458775841,,,,,,,
high_trigger_low_holdout,early,3,0,0.6437828432683079,R3_drop_unweighted,0.6023320442443034,0.6030505787733292,24356,755036,0.6036900313015033,0.6437828432683079,0.6308346269331296,,,,,,,
high_trigger_low_holdout,early,3,0,0.6433401850399049,R4_ipw_pure,0.6027550136767059,0.6035851554221512,24356,755036,0.6040720185772558,0.6433401850399049,0.6300572681089683,,,,,,,
high_trigger_low_holdout,early,3,0,0.658108607584211,R6_no_retrain,0.6016887274638579,0.6020423466280306,25164,780084,0.6004693630385625,0.658108607584211,0.628329665077963,,,,,,,
high_trigger_low_holdout,early,3,0,0.6578018147526447,R7_incremental,0.6022070849045766,0.6024422133689596,3456,107136,0.6007124585974324,0.6578018147526447,0.6284697110989532,,,,,,,
high_trigger_low_holdout,early,3,0,0.6437828432683079,R5_asymmetric,0.6023320442443034,0.6030505787733292,24356,755036,0.6036900313015033,0.6437828432683079,0.6308346269331296,R3_drop_unweighted,-0.0007773588241613005,0.0005345766488219494,R4_ipw_pure,False,1,1.0
high_trigger_low_holdout,early,4,0,0.5237001962383966,R0_benchmark,0.6046280182614789,0.6008379824173498,25342,785602,0.5992616396637295,0.6008379824173498,0.5734559296089412,,,,,,,
high_trigger_low_holdout,early,4,0,0.42221435186205986,R1_holdout_only,0.5450953799794208,0.540753533536066,481,14911,0.5324104147478276,0.42221435186205986,0.5144600110457719,,,,,,,
high_trigger_low_holdout,early,4,0,0.517299021012943,R2_unflagged_only,0.6064987170134991,0.6027134326527832,24585,762135,0.598919380370513,0.517299021012943,0.5692984351610014,,,,,,,
high_trigger_low_holdout,early,4,0,0.5348309373139594,R3_drop_unweighted,0.608413479241647,0.6038149756819131,24604,762724,0.599886834376977,0.5348309373139594,0.5757477897214721,,,,,,,
high_trigger_low_holdout,early,4,0,0.5307752519127732,R4_ipw_pure,0.6095477636317824,0.6044024050276804,24604,762724,0.5980582727437953,0.5307752519127732,0.5751438716372748,,,,,,,
high_trigger_low_holdout,early,4,0,0.5107627940819792,R6_no_retrain,0.6051033804912622,0.6003111652821677,25620,794220,0.5980756316047655,0.5107627940819792,0.5709712640023896,,,,,,,
high_trigger_low_holdout,early,4,0,0.5102942473485768,R7_incremental,0.6050898565537768,0.6003770978979045,3392,105152,0.5983281628134648,0.5102942473485768,0.5707104418453803,,,,,,,
high_trigger_low_holdout,early,4,0,0.5348309373139594,R5_asymmetric,0.608413479241647,0.6038149756819131,24604,762724,0.599886834376977,0.5348309373139594,0.5757477897214721,R3_drop_unweighted,-0.0006039180841973524,0.0005874293457672763,R4_ipw_pure,False,1,1.0
high_trigger_low_holdout,late,0,0,0.5994260771158353,R0_benchmark,0.6020699097767923,0.6009825614589737,24891,771621,0.5928750258172776,0.6009825614589737,0.6014348017656682,,,,,,,
high_trigger_low_holdout,late,0,0,0.5541589200549671,R1_holdout_only,0.5513870085887614,0.5511101974944668,556,17236,0.544775120978903,0.5541589200549671,0.5526345014947378,,,,,,,
high_trigger_low_holdout,late,0,0,0.6132554630452941,R2_unflagged_only,0.602054560841564,0.6006989907129497,20093,622883,0.5897260460478895,0.6132554630452941,0.6027414748589791,,,,,,,
high_trigger_low_holdout,late,0,0,0.596010831784011,R3_drop_unweighted,0.6004246148764583,0.5987852222587561,20179,625549,0.5885901799898632,0.596010831784011,0.5954081487663411,,,,,,,
high_trigger_low_holdout,late,0,0,0.5823970037453183,R4_ipw_pure,0.5974046939436657,0.5854818977743387,20179,625549,0.575282662440751,0.5823970037453183,0.5879054325829495,,,,,,,
high_trigger_low_holdout,late,0,0,0.5261835475439872,R6_no_retrain,0.5273013590393341,0.526537421241942,25206,781386,0.5100823774949624,0.5261835475439872,0.5279021009843954,,,,,,,
high_trigger_low_holdout,late,0,0,0.5996685797429472,R7_incremental,0.5936368605717366,0.5924522486763675,20179,625549,0.5813978869555251,0.5996685797429472,0.5933472632359866,,,,,,,
high_trigger_low_holdout,late,0,0,0.596010831784011,R5_asymmetric,0.6004246148764583,0.5987852222587561,20179,625549,0.5885901799898632,0.596010831784011,0.5954081487663411,R3_drop_unweighted,-0.01442221308012672,-0.0133033244844174,R3_drop_unweighted,True,"7,8,9,10,11,12",6.0
